# orientation data for particle 0 out of 1
# column 1: time
# columns 2-4: principal axes
# columns 5-7: eigenvector 0
# columns 8-10: eigenvector 1
# columns 11-13: eigenvector 2
time a b c eigvec0x eigvec0y eigvec0z eigvec1x eigvec1y eigvec1z eigvec2x eigvec2y eigvec2z
0 7.47744 7.47744 7.47744 1 0 0 0 -0.763593 -0.645697 0 -0.645697 0.763593
100 7.48208 7.47743 7.47284 -0.70505 0.000272318 -0.709158 -0.00013505 1 0.00051827 -0.709158 -0.000461178 0.70505
200 7.49321 7.47733 7.46188 -0.709615 0.000133843 -0.70459 -0.000149155 1 0.000340178 -0.70459 -0.000346489 0.709615
300 7.50548 7.4772 7.44986 -0.719549 0.000187592 -0.694442 -3.65102e-05 1 0.000307964 -0.694442 -0.000246949 0.719549
400 7.51738 7.47705 7.43826 -0.731825 0.000242393 -0.681492 -8.09369e-05 1 0.000442595 -0.681492 -0.00037906 0.731825
500 7.52845 7.47698 7.42743 -0.744495 0.000222694 -0.667628 -7.26323e-05 1 0.000414555 -0.667628 -0.000357125 0.744495
600 7.5386 7.47687 7.41759 -0.756753 0.000186506 -0.653701 -8.59172e-05 1 0.000384769 -0.653701 -0.000347339 0.756753
700 7.54772 7.47681 7.40873 -0.768666 0.000187783 -0.639651 -9.18683e-05 1 0.000403969 -0.639651 -0.000369281 0.768666
800 7.55593 7.47675 7.40078 -0.780022 0.000193137 -0.625751 -0.000109726 1 0.000445425 -0.625752 -0.000416103 0.780022
900 7.56331 7.47667 7.39368 -0.790708 0.000189197 -0.612194 -9.20338e-05 1 0.000427919 -0.612194 -0.000394701 0.790708
1000 7.56984 7.4766 7.38742 -0.800817 0.000186743 -0.598909 -9.0766e-05 1 0.00043317 -0.598909 -0.000401251 0.800817
1100 7.57561 7.47655 7.38188 -0.810296 0.000167835 -0.586021 -8.79398e-05 1 0.000407992 -0.586021 -0.000382129 0.810296
1200 7.58082 7.47649 7.37692 -0.819231 0.000189103 -0.573463 -9.16846e-05 1 0.000460735 -0.573463 -0.000430026 0.819231
1300 7.58544 7.47645 7.37253 -0.827601 0.00013387 -0.561317 -0.000109773 1 0.000400341 -0.561317 -0.00039294 0.827601
1400 7.58932 7.47647 7.36878 -0.835382 0.000167709 -0.549671 -6.61396e-05 1 0.000405627 -0.549671 -0.000375208 0.835381
1500 7.59267 7.47647 7.36558 -0.842625 0.000153648 -0.538501 -7.58448e-05 1 0.000404003 -0.538501 -0.000381266 0.842625
1600 7.59553 7.47647 7.3629 -0.849353 0.00012894 -0.527825 -9.14629e-05 1 0.000391465 -0.527825 -0.000380768 0.849353
1700 7.59798 7.47645 7.36059 -0.855584 0.000164014 -0.517664 -8.15462e-05 1 0.000451612 -0.517664 -0.000428606 0.855584
1800 7.60006 7.4765 7.35861 -0.861276 0.000167932 -0.508137 -7.56269e-05 1 0.000458671 -0.508137 -0.000433471 0.861276
1900 7.6017 7.47652 7.35709 -0.866641 0.000156426 -0.498932 -7.85675e-05 1 0.000449993 -0.498932 -0.000429182 0.866641
2000 7.6031 7.47652 7.35579 -0.871518 0.000180674 -0.490364 -5.44088e-05 1 0.00046515 -0.490364 -0.000432067 0.871518
